날짜,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20180408,13974.48,13812.48,13649.76,13462.56,13325.76,13562.64,13959.36,13685.76,13701.6,14372.64,14642.64,14454,14978.16,15364.8,16025.04,16509.6,16552.08,16489.44,16623.36,16770.24,16636.32,15833.52,15143.76,14587.92
20180409,15850.8,15760.8,15524.64,15462.72,15557.04,16243.2,17469.36,17816.4,19555.92,23081.76,21844.8,22060.08,23438.16,21777.12,21347.28,21208.32,20782.08,21927.6,20488.32,20044.8,18992.16,17553.6,16404.48,15156
20180410,16118.64,15852.96,15689.52,15546.96,15470.64,16174.8,17222.4,17496.72,18346.32,20682,19465.92,19492.56,21239.28,19945.44,19823.76,19841.76,19904.4,21478.32,20066.4,19264.32,18155.52,16984.08,15800.4,14845.68
20180411,16011.36,15760.8,15544.8,15460.56,15382.08,15915.6,16979.04,17138.16,17536.32,19837.44,18876.96,19245.6,20740.32,19312.56,19093.68,19144.8,19081.44,20608.56,19243.44,18623.52,17666.64,16665.84,15576.48,14443.92
20180412,15493.68,15290.64,15184.8,14966.64,14968.8,15654.96,16656.48,16701.12,17452.08,19617.12,18560.16,18572.4,20405.52,18868.32,18565.92,18686.16,18784.08,20244.24,18954.72,18185.76,17170.56,16297.92,15186.96,14369.76
20180413,15525.36,15276.24,15192.72,14916.24,15022.8,15552.72,16698.96,16872.48,17253.36,19301.76,18232.56,18032.4,19880.64,18672.48,18552.24,18271.44,18367.2,19581.12,18151.2,17351.28,16392.96,15462,14610.96,13685.76
20180414,13322.88,13101.84,12995.28,12970.08,12967.92,13141.44,13593.6,13556.88,14220.72,15642.72,15883.92,16070.4,16445.52,16640.64,16721.28,16803.36,16711.92,16050.24,15811.2,15862.32,15639.12,15036.48,14494.32,13903.2
20180415,13585.68,13425.84,13196.16,13033.44,12963.6,13021.2,13512.24,13252.32,13400.64,13970.88,13410,13510.08,13958.64,14304.24,14681.52,15211.44,15584.4,15305.04,15140.16,15515.28,15462,14958.72,14513.76,13979.52
20180416,15178.32,15089.76,15112.08,15025.68,14953.68,15510.24,16675.92,16907.76,17591.76,20130.48,19092.24,19150.56,20911.68,19190.88,19027.44,18980.64,18853.92,20429.28,19092.24,18479.52,17693.28,16699.68,15441.12,14540.4
20180417,15535.44,15231.6,15082.56,14945.04,14930.64,15541.92,16661.52,16863.84,17417.52,19818,18612.72,18696.24,20306.16,18926.64,18757.44,18514.08,18616.32,20152.8,18812.16,18226.8,17415.36,16577.28,15484.32,14531.76
